name,componente,codigo_cmn,n_decreto,categoria,fecha_decreto,nombre,codigo_raiz,observacion_division_politica_administrativa,tipo_de_decreto,fecha_de_publicacion_en_el_diario_oficial,superficie_oficial_en_hectareas,superficie_oficial_en_metros_cuadrados,lon,lat
Yacimientos arqueológicos y paleontológicos del Departamento de Arica,No aplica,00044_MH_15101,4867,Monumento Histórico,13-07-1967,Yacimientos arqueológicos y paleontológicos del Departamento de Arica,No aplica,Sin Observaciones,Decreto Supremo,0:00:00,0,0,-70.222667,-18.513343
Ex Isla del Alacrán y restos de fortificación,No aplica,00406_MH_15101,1002,Monumento Histórico,13-12-1985,Ex Isla del Alacrán y restos de fortificación,No aplica,Sin Observaciones,Decreto Supremo,0:00:00,0,0,-70.332155,-18.480484
Pictografías de Vilacaurani,No aplica,00052_MH_15201,5591,Monumento Histórico,31-05-1969,Pictografías de Vilacaurani,No aplica,Sin Observaciones,Decreto Supremo,0:00:00,0,0,-69.607556,-18.202327
Iglesia de Parinacota,No aplica,00231_MH_15201,1158,Monumento Histórico,04-05-1979,Iglesia de Parinacota,No aplica,Sin Observaciones,Decreto Supremo,02-06-1979,0,0,-69.26813987,-18.20183566
17 Azudas de Larmahue (Ruedas de Agua ),1 azuda de Larmahue (Rueda de agua),00727_MH_06113,830,Monumento Histórico,10-08-1998,17 Azudas de Larmahue (Ruedas de Agua ),00723_MH_06113,Sin Observaciones,Decreto Exento,28-04-1998,0,0,-71.19393168,-34.41334328
Pucará de Calacruz,No aplica,00320_MH_15201,83,Monumento Histórico,19-01-1983,Pucará de Calacruz,No aplica,Sin Observaciones,Decreto Supremo,04-03-1983,0,0,-69.614896,-18.26759
Pucará de Lupica,No aplica,00322_MH_15201,83,Monumento Histórico,19-01-1983,Pucará de Lupica,No aplica,Sin Observaciones,Decreto Supremo,04-03-1983,0,0,-69.525729,-18.508589
Pucará de Saxamar,No aplica,00323_MH_15201,83,Monumento Histórico,19-01-1983,Pucará de Saxamar,No aplica,Sin Observaciones,Decreto Supremo,04-03-1983,0,0,-69.514635,-18.543809
Tambo de Chungará,No aplica,00324_MH_15201,83,Monumento Histórico,19-01-1983,Tambo de Chungará,No aplica,Sin Observaciones,Decreto Supremo,04-03-1983,0,0,-69.136215,-18.291533
Tambo de Zapahuira,No aplica,00325_MH_15201,83,Monumento Histórico,19-01-1983,Tambo de Zapahuira,No aplica,Sin Observaciones,Decreto Supremo,04-03-1983,0,0,-69.618331,-18.353255
Aduana de Iquique,No aplica,00064_MH_01101,1559,Monumento Histórico,28-06-1971,Aduana de Iquique,No aplica,Sin Observaciones,Decreto Supremo,24-07-1971,0,0,-70.15265507,-20.21147997
